event_uid,chunk_id,chunk_text,titre,description,date,lieu,ville,latitude,longitude,type_evenement
1298208,1298208_0,"Événement : Art et Soleil : le Cyanotype. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Buffon, Montbard.",Art et Soleil : le Cyanotype,"La classe, l’œuvre !",23/05/2026,Musée Buffon,Montbard,47.624452,4.336899,
1873551,1873551_0,"Événement : Eugène Martel. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Louis Vouland, Avignon.",Eugène Martel,"La classe, l’œuvre !",23/05/2026,Musée Louis Vouland,Avignon,43.947254,4.800664,
2056850,2056850_0,"Événement : En mode romain : la fibule ancêtre de l'épingle à nourrice. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Amphoralis, Sallèles-d'Aude.",En mode romain : la fibule ancêtre de l'épingle à nourrice,"La classe, l’œuvre !",23/05/2026,Musée Amphoralis,Sallèles-d'Aude,43.262209,2.945924,
2248297,2248297_0,"Événement : Mulotia, femme esclavée à l'île Maurice. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée et château royal de Blois, Blois.","Mulotia, femme esclavée à l'île Maurice","La classe, l’œuvre !",23/05/2026,Musée et château royal de Blois,Blois,47.585445,1.331811,
2716271,2716271_0,"Événement : Visite Flash « C’est moi le guide ! » (FR/EN). La classe, l’œuvre ! Date : 23/05/2026. Lieu : Frac Grand Large — Hauts-de-France, Dunkerque.",Visite Flash « C’est moi le guide ! » (FR/EN),"La classe, l’œuvre !",23/05/2026,Frac Grand Large — Hauts-de-France,Dunkerque,51.048063,2.37582,
3090909,3090909_0,"Événement : élèves médiateurs. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée des Beaux-Arts de Bordeaux, Bordeaux.",élèves médiateurs,"La classe, l’œuvre !",23/05/2026,musée des Beaux-Arts de Bordeaux,Bordeaux,44.837341,-0.580682,
3566778,3566778_0,"Événement : De la plume à la voix : Saint Quentin raconte la Révolution et l'Empire. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Archives municipales et communautaires, Saint-Quentin.",De la plume à la voix : Saint Quentin raconte la Révolution et l'Empire,"La classe, l’œuvre !",23/05/2026,Archives municipales et communautaires,Saint-Quentin,49.855389,3.307368,
4092107,4092107_0,"Événement : La Liberté en Lumière. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Jean-Jacques Rousseau, Montmorency.",La Liberté en Lumière,"La classe, l’œuvre !",23/05/2026,Musée Jean-Jacques Rousseau,Montmorency,48.986892,2.320916,
4279430,4279430_0,"Événement : Autour du spectacle ERI. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Lab71, Dompierre-les-Ormes.",Autour du spectacle ERI,"La classe, l’œuvre !",23/05/2026,Lab71,Dompierre-les-Ormes,46.355397,4.486955,
4315084,4315084_0,"Événement : La vie quotidienne des Gallo-Romains à Argentorate. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée archéologique de Strasbourg, Strasbourg.",La vie quotidienne des Gallo-Romains à Argentorate,"La classe, l’œuvre !",23/05/2026,Musée archéologique de Strasbourg,Strasbourg,48.580661,7.75214,
4335737,4335737_0,"Événement : Conte-moi l'écomusée. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Ecomusée de Margeride, Ruynes-en-Margeride.",Conte-moi l'écomusée,"La classe, l’œuvre !",23/05/2026,Ecomusée de Margeride,Ruynes-en-Margeride,44.998879,3.224951,
4367935,4367935_0,"Événement : Sur un air de guitare. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Auguste Grasset, Varzy.",Sur un air de guitare,"La classe, l’œuvre !",23/05/2026,Musée Auguste Grasset,Varzy,47.35742,3.386195,
4924082,4924082_0,"Événement : Saint-Cloud dans les nuages par les élèves du lycée Santos-Dumont. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée des Avelines, Saint-Cloud.",Saint-Cloud dans les nuages par les élèves du lycée Santos-Dumont,"La classe, l’œuvre !",23/05/2026,Musée des Avelines,Saint-Cloud,48.842497,2.208286,
5852579,5852579_0,"Événement : La classe devient guide au musée Jeanne d’Aboville. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Jeanne D'aboville, La Fère.",La classe devient guide au musée Jeanne d’Aboville,"La classe, l’œuvre !",23/05/2026,Musée Jeanne D'aboville,La Fère,49.661954,3.367748,
6023762,6023762_0,"Événement : Dans la peau d'un conservateur des musées de France. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée d'Art et d'Archéologie, Cluny.",Dans la peau d'un conservateur des musées de France,"La classe, l’œuvre !",23/05/2026,Musée d'Art et d'Archéologie,Cluny,46.435565,4.657115,
6803678,6803678_0,"Événement : Parcours d’images et chemins d’histoire autour de la figure de Saint-Jacques. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Service patrimoine Moissac, Moissac.",Parcours d’images et chemins d’histoire autour de la figure de Saint-Jacques,"La classe, l’œuvre !",23/05/2026,Service patrimoine Moissac,Moissac,44.106184,1.084388,
8807165,8807165_0,"Événement : Les élèves médiateurs d'un soir. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Muséum de Toulouse, Toulouse.",Les élèves médiateurs d'un soir,"La classe, l’œuvre !",23/05/2026,Muséum de Toulouse,Toulouse,43.594181,1.44895,
10417689,10417689_0,"Événement : Parcours des lycéens de Gustave Eiffel de Bordeaux. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée des Beaux-Arts de Bordeaux, Bordeaux.",Parcours des lycéens de Gustave Eiffel de Bordeaux,"La classe, l’œuvre !",23/05/2026,musée des Beaux-Arts de Bordeaux,Bordeaux,44.837341,-0.580682,
10485194,10485194_0,"Événement : Salins dans son cadre et dans ses murs. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la Grande Saline, Salins-les-Bains.",Salins dans son cadre et dans ses murs,"La classe, l’œuvre !",23/05/2026,Musée de la Grande Saline,Salins-les-Bains,46.937576,5.876188,
10561467,10561467_0,"Événement : [PAS PERDUS], Danse, musique et chaussures ! avec la Cie In and Out et Le train théâtre.. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la chaussure, Romans-sur-Isère.","[PAS PERDUS], Danse, musique et chaussures ! avec la Cie In and Out et Le train théâtre.","La classe, l’œuvre !",23/05/2026,Musée de la chaussure,Romans-sur-Isère,45.04449,5.054468,
11169882,11169882_0,"Événement : ""Les cloches qui content"" - Du conte au récit graphique et théâtral.. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée De La Cloche Et De La Sonnaille, Hérépian.","""Les cloches qui content"" - Du conte au récit graphique et théâtral.","La classe, l’œuvre !",23/05/2026,Musée De La Cloche Et De La Sonnaille,Hérépian,43.593812,3.112242,
11509618,11509618_0,"Événement : Les animaux. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la faïence et de la céramique de Malicorne-sur-Sarthe, Malicorne-sur-Sarthe.",Les animaux,"La classe, l’œuvre !",23/05/2026,Musée de la faïence et de la céramique de Malicorne-sur-Sarthe,Malicorne-sur-Sarthe,47.81341,-0.082911,
12280832,12280832_0,"Événement : Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie "". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée du Louvre, Paris.","Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie ""","La classe, l’œuvre !",23/05/2026,Musée du Louvre,Paris,48.861581,2.333569,
16185797,16185797_0,"Événement : Arrête ton char !!. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de l'oeuvre Notre-Dame de Strasbourg, Strasbourg.",Arrête ton char !!,"La classe, l’œuvre !",23/05/2026,Musée de l'oeuvre Notre-Dame de Strasbourg,Strasbourg,48.584614,7.750713,
16958838,16958838_0,"Événement : Parcours des lycéens sur le thème du paysage naturaliste et des sorcières. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée des Beaux-Arts de Bordeaux, Bordeaux.",Parcours des lycéens sur le thème du paysage naturaliste et des sorcières,"La classe, l’œuvre !",23/05/2026,musée des Beaux-Arts de Bordeaux,Bordeaux,44.837341,-0.580682,
17308320,17308320_0,"Événement : Structures sonores. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Du Jouet Pierre Pinel, Poissy.",Structures sonores,"La classe, l’œuvre !",23/05/2026,Musée Du Jouet Pierre Pinel,Poissy,48.928458,2.037872,
19474112,19474112_0,"Événement : L’Art en trois dimensions. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Fondation Vasarély, Aix-en-Provence.",L’Art en trois dimensions,"La classe, l’œuvre !",23/05/2026,Fondation Vasarély,Aix-en-Provence,43.520137,5.424861,
19999163,19999163_0,"Événement : Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie "". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée du Louvre, Paris.","Le Louvre invite des élèves à réinventer les cartels de l'exposition  ""L'Eau primordiale - Leçons de Mésopotamie ""","La classe, l’œuvre !",23/05/2026,Musée du Louvre,Paris,48.861581,2.333569,
21805521,21805521_0,"Événement : Jeu de piste dans le musée ""Ah ! Si le marquis avait su !"". La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de Millau et des Grands Causses, Millau.","Jeu de piste dans le musée ""Ah ! Si le marquis avait su !""","La classe, l’œuvre !",23/05/2026,Musée de Millau et des Grands Causses,Millau,44.097783,3.080786,
22445737,22445737_0,"Événement : Visite commentée du château par les élèves de 5e du collège Vasco de Gama. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Château-Musée de Nemours, Nemours.",Visite commentée du château par les élèves de 5e du collège Vasco de Gama,"La classe, l’œuvre !",23/05/2026,Château-Musée de Nemours,Nemours,48.260788,2.714709,
23074860,23074860_0,"Événement : Danse et Culture de l’Inde. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Maison Alexandra David-Neel, Digne-les-Bains.",Danse et Culture de l’Inde,"La classe, l’œuvre !",23/05/2026,Maison Alexandra David-Neel,Digne-les-Bains,44.081249,6.223936,
23558546,23558546_0,"Événement : [Palais-Musée Narbonne] Monstres et chimères des plafonds peints vus par les élèves de 6e CHAM du collège Victor Hugo. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Palais-Musée des Archevêques de Narbonne, Narbonne.",[Palais-Musée Narbonne] Monstres et chimères des plafonds peints vus par les élèves de 6e CHAM du collège Victor Hugo,"La classe, l’œuvre !",23/05/2026,Palais-Musée des Archevêques de Narbonne,Narbonne,43.183615,3.00426,
24259167,24259167_0,"Événement : L’Antiquité m’inspire ! Transformer et exprimer l’histoire !. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée archéologique Fréjus, Fréjus.",L’Antiquité m’inspire ! Transformer et exprimer l’histoire !,"La classe, l’œuvre !",23/05/2026,Musée archéologique Fréjus,Fréjus,43.433482,6.736713,
24460169,24460169_0,"Événement : Conte-moi l'Écomusée. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Ecomusée de Margeride, Ruynes-en-Margeride.",Conte-moi l'Écomusée,"La classe, l’œuvre !",23/05/2026,Ecomusée de Margeride,Ruynes-en-Margeride,44.998879,3.224951,
24905410,24905410_0,"Événement : Le zoo magique de Miro. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Mediathèque de Mayet, Mayet.",Le zoo magique de Miro,"La classe, l’œuvre !",23/05/2026,Mediathèque de Mayet,Mayet,47.759239,0.275217,
25573711,25573711_0,"Événement : Terres de glitchs. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Lugdunum - musée et théâtres romains, Lyon.",Terres de glitchs,"La classe, l’œuvre !",23/05/2026,Lugdunum - musée et théâtres romains,Lyon,45.760529,4.82004,
25666929,25666929_0,"Événement : Pour une approche bilingue des œuvres. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Vivant Denon, Chalon-sur-Saône.",Pour une approche bilingue des œuvres,"La classe, l’œuvre !",23/05/2026,Musée Vivant Denon,Chalon-sur-Saône,46.780866,4.853099,
26489622,26489622_0,"Événement : Être au monde, interroger le vivant - Transformation. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Ecomusée Du Véron, Savigny-en-Véron.","Être au monde, interroger le vivant - Transformation","La classe, l’œuvre !",23/05/2026,Ecomusée Du Véron,Savigny-en-Véron,47.209697,0.124427,
26491879,26491879_0,"Événement : Poétiques hydroélectriques. La classe, l’œuvre ! Date : 23/05/2026. Lieu : La Galerie - Musée d'Allevard-les-Bains, Allevard.",Poétiques hydroélectriques,"La classe, l’œuvre !",23/05/2026,La Galerie - Musée d'Allevard-les-Bains,Allevard,45.38923,6.071004,
26638760,26638760_0,"Événement : Prémices. La classe, l’œuvre ! Date : 23/05/2026. Lieu : musée d'art et d'histoire du Judaïsme, Paris.",Prémices,"La classe, l’œuvre !",23/05/2026,musée d'art et d'histoire du Judaïsme,Paris,48.860958,2.355639,
27194235,27194235_0,"Événement : Les émigrants. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée des Beaux Arts, Bernay.",Les émigrants,"La classe, l’œuvre !",23/05/2026,Musée des Beaux Arts,Bernay,49.088884,0.598803,
30768015,30768015_0,"Événement : Cryptogramme. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Du Touquet-Paris-Plage, Le Touquet-Paris-Plage.",Cryptogramme,"La classe, l’œuvre !",23/05/2026,Musée Du Touquet-Paris-Plage,Le Touquet-Paris-Plage,50.507849,1.602692,
30977775,30977775_0,"Événement : Le costume de la Belle Strasbourgeoise : Une oeuvre qui a de l’allure. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée historique Strasbourg, Strasbourg.",Le costume de la Belle Strasbourgeoise : Une oeuvre qui a de l’allure,"La classe, l’œuvre !",23/05/2026,Musée historique Strasbourg,Strasbourg,48.579946,7.750768,
31157309,31157309_0,"Événement : Louis Vouland. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Louis Vouland, Avignon.",Louis Vouland,"La classe, l’œuvre !",23/05/2026,Musée Louis Vouland,Avignon,43.947254,4.800664,
31688209,31688209_0,"Événement : Hybridations. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée de la Chasse et de la Nature, Paris.",Hybridations,"La classe, l’œuvre !",23/05/2026,Musée de la Chasse et de la Nature,Paris,48.861498,2.358616,
31928209,31928209_0,"Événement : Petites voix, grandes histoires. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée d'Art de Toulon (MAT), toulon.","Petites voix, grandes histoires","La classe, l’œuvre !",23/05/2026,Musée d'Art de Toulon (MAT),toulon,43.102882,6.069086,
33263251,33263251_0,"Événement : En mode romain : le temps de la fabrication. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée Amphoralis, Sallèles-d'Aude.",En mode romain : le temps de la fabrication,"La classe, l’œuvre !",23/05/2026,Musée Amphoralis,Sallèles-d'Aude,43.262209,2.945924,
34251097,34251097_0,"Événement : Confidences précolombiennes. La classe, l’œuvre ! Date : 23/05/2026. Lieu : Musée des Amériques - Auch, Auch.",Confidences précolombiennes,"La classe, l’œuvre !",23/05/2026,Musée des Amériques - Auch,Auch,43.647488,0.587984,
