product_id,post_title,price,stock_quantity,chiffre_affaires_produit,chiffre_affaires_total
6049.0,Christophe Pichon Saint-Joseph Blanc 2017,21.8,6.0,130.8,388287.4999999999
5491.0,Marc Colin Et Fils Santenay Rouge 2017,26.5,15.0,397.5,388287.4999999999
5738.0,Triennes IGP Méditerranée Rouge Saint Auguste 2016,14.6,26.0,379.59999999999997,388287.4999999999
6070.0,Borie La Vitarèle Pays d'Hérault Les Cigales 2019,9.3,124.0,1153.2,388287.4999999999
5700.0,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",44.5,-1.0,-44.5,388287.4999999999
4613.0,Gilbert Picq Chablis 2017,16.9,31.0,523.9,388287.4999999999
5712.0,Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015,57.6,0.0,0.0,388287.4999999999
4144.0,Champagne Gosset Grand Rosé,49.0,11.0,539.0,388287.4999999999
4149.0,Champagne Mailly Grand Cru Intemporelle Rosé 2009,69.0,34.0,2346.0,388287.4999999999
5891.0,Saumaize-Michelin Viré-Clessé 2018,19.0,4.0,76.0,388287.4999999999
4043.0,Pierre Gaillard Côte Rôtie Esprit de Blonde 2017,60.0,12.0,720.0,388287.4999999999
4867.0,Château De La Selve IGP Coteaux de l'Ardèche Maguelonne Rosé 2019,9.9,0.0,0.0,388287.4999999999
5695.0,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,6.5,123.0,799.5,388287.4999999999
4242.0,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,8.6,85.0,731.0,388287.4999999999
5903.0,Stéphane Tissot Arbois Trousseau Singulier 2017,27.3,1.0,27.3,388287.4999999999
4716.0,Domaine Schoenheitz Pinot Gris Herrenreben 2017,18.6,7.0,130.20000000000002,388287.4999999999
4780.0,Maurice Schoech Crémant d'Alsace Brut Rosé Bulles de Granite,13.7,12.0,164.39999999999998,388287.4999999999
6050.0,Christophe Pichon Condrieu 2017,38.5,0.0,0.0,388287.4999999999
4909.0,Antoine-Marie Arena Vin de France Bianco Gentile 2018,25.9,27.0,699.3,388287.4999999999
5525.0,Domaine Chambeyron Vin de Pays des Collines Rhodaniennes Viognier 2016,12.0,0.0,0.0,388287.4999999999
4231.0,Argentine Mendoza Alamos Malbec 2018,11.1,0.0,0.0,388287.4999999999
4045.0,Pierre Gaillard Côte Rôtie 2018,42.6,66.0,2811.6,388287.4999999999
6106.0,Stéphane Tissot Château-Chalon 2011,74.8,15.0,1122.0,388287.4999999999
6632.0,Weingut Besson-Strasser Zürich Pinot Noir Chlosterberg 2016,52.7,2.0,105.4,388287.4999999999
6227.0,Le Pas de l'Escalette Terrasses du Larzac Les Frieys 2017,40.2,15.0,603.0,388287.4999999999
5546.0,Thierry Germain Saumur-Champigny Cuvée Domaine 2018,15.2,130.0,1976.0,388287.4999999999
7023.0,Camin Larredya Jurançon Sec La Virada 2018,27.5,15.0,412.5,388287.4999999999
4050.0,Pierre Gaillard Saint-Joseph Blanc 2019,21.8,0.0,0.0,388287.4999999999
4925.0,Cave de Castelmaure Corbières Rouge N°3 2017,23.2,0.0,0.0,388287.4999999999
4086.0,Rimauresq Côtes de Provence Blanc Cru Classé 2019,16.4,31.0,508.4,388287.4999999999
4261.0,Chermette Domaine du Vissoux Beaujolais Griottes 2018,9.9,89.0,881.1,388287.4999999999
5967.0,Zind-Humbrecht Gewurztraminer Clos Windsbuhl 2012,56.3,9.0,506.7,388287.4999999999
6584.0,La Préceptorie Côtes du Roussillon Blanc Coume Marie 2018,13.5,29.0,391.5,388287.4999999999
5827.0,Agnès Levet Côte Rôtie Maestria 2017,55.0,11.0,605.0,388287.4999999999
6621.0,Thierry Germain Saumur-Champigny La Marginale 2018,35.2,69.0,2428.8,388287.4999999999
4099.0,Paul Ginglinger Riesling Drei Exa 2018,12.8,43.0,550.4,388287.4999999999
5006.0,David Duband Nuits-Saint-Georges 2017,48.7,0.0,0.0,388287.4999999999
4160.0,Planeta Sicilia La Segreta Rosso 2017,9.3,0.0,0.0,388287.4999999999
4861.0,Philippe Nusswitz Duché d'Uzès Orénia Rouge 2017,8.5,284.0,2414.0,388287.4999999999
4976.0,Château Lafont Menaut Pessac-Leognan Rouge 2017,16.45,26.0,427.7,388287.4999999999
4152.0,Elian Daros Côtes du Marmandais Chante Coucou 2016,19.2,57.0,1094.3999999999999,388287.4999999999
4188.0,Château de La Liquière Languedoc Blanc Les Amandiers 2019,9.5,99.0,940.5,388287.4999999999
4191.0,Château de La Liquière Faugères Les Amandiers Rouge 2019,9.3,209.0,1943.7,388287.4999999999
5760.0,Huile d'Olive Extra Vierge Planeta 50cl,13.1,37.0,484.7,388287.4999999999
4104.0,Emile Boeckel Riesling Brandluft 2018,9.7,37.0,358.9,388287.4999999999
5618.0,"Albert Boxler Riesling Grand Cru Sommerberg ""D"" 2018",71.3,31.0,2210.2999999999997,388287.4999999999
4163.0,Parés Baltà Penedès Calcari 2018,10.8,18.0,194.4,388287.4999999999
4975.0,Château Cordet Margaux 2013,23.7,15.0,355.5,388287.4999999999
5628.0,Parés Baltà Penedès Hisenda Miret 2013,25.0,20.0,500.0,388287.4999999999
5801.0,Château Monbrison Margaux Bouquet de Monbrison 2012,24.0,62.0,1488.0,388287.4999999999
4680.0,Domaine de Joy Côtes de Gascogne Envie de Joy 2018,6.3,34.0,214.2,388287.4999999999
4138.0,Zind-Humbrecht Zind 2017,25.7,0.0,0.0,388287.4999999999
5743.0,Domaine Clerget Vosne-Romanée Les Violettes 2015,57.0,0.0,0.0,388287.4999999999
4197.0,Château de La Liquière Faugères Les Amandiers Rosé 2019,9.4,24.0,225.60000000000002,388287.4999999999
6201.0,David Duband Chambolle-Musigny 1er Cru Les Sentiers 2016,105.6,7.0,739.1999999999999,388287.4999999999
6928.0,Le Cèdre de Jean Faure Saint-Emilion 2016,19.0,20.0,380.0,388287.4999999999
5069.0,Albert Mann Pinot Noir Les Saintes Claires 2017,65.0,2.0,130.0,388287.4999999999
4789.0,Maurice Schoech Pinot Noir 2018,11.1,62.0,688.1999999999999,388287.4999999999
6226.0,Le Pas de l'Escalette Terrasses du Larzac Le Pas de D. 2017,20.4,0.0,0.0,388287.4999999999
4994.0,Domaine Peyre Rose Syrah Léone 2008,78.0,7.0,546.0,388287.4999999999
4573.0,Château de Meursault Beaune-Grèves Les Trois Journaux 1er Cru 2015,67.2,9.0,604.8000000000001,388287.4999999999
4933.0,Marcel Richaud Cairanne Rouge 2018,18.4,30.0,552.0,388287.4999999999
4172.0,Maurel Pays d'Oc Chardonnay 2019,5.7,167.0,951.9,388287.4999999999
4073.0,Château de Vaudieu Châteauneuf-du-Pape L'Avenue 2015,77.8,11.0,855.8,388287.4999999999
4679.0,Domaine Rotier Gaillac Rouge Renaissance 2016,13.2,37.0,488.4,388287.4999999999
4783.0,Maurice Schoech Pinot Gris Vendanges Tardives 2015,29.5,5.0,147.5,388287.4999999999
5694.0,Philippe Nusswitz Duché d'Uzès Orénia Rouge Réserve 2016,12.7,62.0,787.4,388287.4999999999
4788.0,Maurice Schoech Pinot Gris 2018,12.3,21.0,258.3,388287.4999999999
4779.0,Clos du Mont-Olivet Vin de France La Sabonite,7.8,163.0,1271.3999999999999,388287.4999999999
5736.0,Triennes IGP Méditerranée Blanc Sainte Fleur 2018,14.9,10.0,149.0,388287.4999999999
