agenda_uid,agenda,event_uid,titre,description,date,lieu,ville,latitude,longitude,type_evenement
82411,Evry-Sénart Sciences et Innovation,44890549,Matinales du Management : Kaamelott ou apprendre à manager dans l’ère digitale,"Les Matinales du Management d'IMT-BS invitent chercheurs, professionnels et étudiants à croiser leurs regards sur des sujets au cœur des transformations actuelles.","{'end': '2026-06-03T10:30:00.000+02:00', 'begin': '2026-06-03T08:30:00.000+02:00'}",Institut Mines-Télécom Business School,Évry-Courcouronnes,48.624074,2.444081,{'fr': ['Conférence']}
82411,Evry-Sénart Sciences et Innovation,54365457,D4Gen Hackathon 2026,48h intense d’innovation pour trouver des solutions digitales utiles aux sciences du vivant !,"{'end': '2026-06-05T17:00:00.000+02:00', 'begin': '2026-06-05T09:00:00.000+02:00'}",GIP Genopole,Évry-Courcouronnes,48.618989,2.450967,{'fr': ['Hackathon']}
82411,Evry-Sénart Sciences et Innovation,14144628,"Séminaire ESSI - IA & entreprises : stratégies, cas d’usage et ateliers pratiques","Vendredi 12 juin, de 8h30 à 10h30, participez à une matinée dédiée aux applications concrètes de l’intelligence artificielle en entreprise.","{'end': '2026-06-12T10:30:00.000+02:00', 'begin': '2026-06-12T08:30:00.000+02:00'}",IBGBI,Évry-Courcouronnes,48.625581,2.439815,{'fr': ['Séminaire']}
82411,Evry-Sénart Sciences et Innovation,12060442,Challenge cybersécurité 404 CTF,"Télécom SudParis et la Direction Générale de la Sécurité Extérieure (DGSE), en partenariat avec OVHcloud et VivaTechnology, organisent la cinquième édition du 404 CTF.","{'end': '2026-05-16T18:00:00.000+02:00', 'begin': '2026-05-16T09:00:00.000+02:00'}",Télécom SudParis,Évry-Courcouronnes,48.624685,2.443301,{'fr': ['Challenge']}
82411,Evry-Sénart Sciences et Innovation,90633209,Journées Portes Ouvertes de la  FDME,Participez aux Journées Portes Ouvertes pour découvrir l'offre de formation de la Faculté Des Métiers de l'Essonne.,"{'end': '2026-05-30T17:00:00.000+02:00', 'begin': '2026-05-30T09:00:00.000+02:00'}",Campus de la FDME – Évry-Courcouronnes,Évry-Courcouronnes,48.623322,2.455797,{'fr': ['Portes ouvertes']}
82411,Evry-Sénart Sciences et Innovation,86433321,"Sécurité économique : nouveaux risques, nouveaux enjeux","Le Medef Essonne, en partenariat avec la CCI Essonne, IMT-BS & Télécom SudParis, vous donne rendez-vous pour une rencontre autour de la sécurité économique.","{'end': '2026-06-02T19:30:00.000+02:00', 'begin': '2026-06-02T17:30:00.000+02:00'}",Institut Mines-Télécom Business School,Évry-Courcouronnes,48.624074,2.444081,{'fr': ['Rencontre']}
82411,Evry-Sénart Sciences et Innovation,94878348,Journée Nationale de la Bioproduction de Biomédicaments,"Genopole et GenoTher, premier biocluster européen dédié à la thérapie du gène, participent à la 3e édition de la Journée Nationale de la Bioproduction de Biomédicaments – JNBB.","{'end': '2026-06-04T17:00:00.000+02:00', 'begin': '2026-06-04T09:30:00.000+02:00'}",GIP Genopole (salle Elyséum),Évry-Courcouronnes,48.618974,2.45097,{'fr': ['Rencontre']}
82411,Evry-Sénart Sciences et Innovation,95253851,L’impact de l’IA sur la transformation des métiers : quelles formations pour anticiper les besoins ?,L'ensIIE invite ses partenaires à une demi-journée de rencontres autour d'un thème fort d'actualité.,"{'end': '2026-06-04T12:00:00.000+02:00', 'begin': '2026-06-04T10:00:00.000+02:00'}",ensIIE,Évry-Courcouronnes,48.626749,2.432329,{'fr': ['Partners day']}
82411,Evry-Sénart Sciences et Innovation,89534299,Job Dating de l’IRFASE,Le mercredi 10 juin 2026 de 14h à 17h se tiendra le job dating de l’IRFASE.,"{'end': '2026-06-10T17:00:00.000+02:00', 'begin': '2026-06-10T14:00:00.000+02:00'}",IRFASE,Évry-Courcouronnes,48.628056,2.42896,{'fr': ['Job dating']}
82411,Evry-Sénart Sciences et Innovation,90868390,Forum de Printemps d'IMT-BS,Une opportunité unique pour les entreprises de rencontrer des profils motivés et sécuriser leurs recrutements avant l’été.,"{'end': '2026-06-18T17:00:00.000+02:00', 'begin': '2026-06-18T13:00:00.000+02:00'}",Institut Mines-Télécom Business School,Évry-Courcouronnes,48.624074,2.444081,{'fr': ['Forum de recrutement']}
82411,Evry-Sénart Sciences et Innovation,86977658,FAIM 2026 : conférence internationale de référence sur l’Industrie 5.0,"Du 21 au 25 juin 2026, le territoire du Grand Paris Sud accueillera un événement scientifique d’envergure mondiale : la conférence FAIM 2026 (Flexible Automation and Intelligent Manufacturing).","{'end': '2026-06-21T18:00:00.000+02:00', 'begin': '2026-06-21T13:00:00.000+02:00'}",Icam site de Grand Paris Sud,Lieusaint,48.615449,2.540314,{'fr': ['Conférence']}
82411,Evry-Sénart Sciences et Innovation,64086809,Les webinaires d’information – Executive Master,L’innovation sociale au cœur de la formation des dirigeant·es du secteur social !,"{'end': '2026-06-23T13:30:00.000+02:00', 'begin': '2026-06-23T12:30:00.000+02:00'}",,,,,{'fr': ['Webinaire']}
82411,Evry-Sénart Sciences et Innovation,52021518,Conférence Thérapies Innovantes et Combinatoires,"Genopole, l’Université Évry Paris-Saclay et le LBEPS vous invitent à la 5e édition de la conférence sur les thérapies innovantes et combinatoires.","{'end': '2026-07-02T17:00:00.000+02:00', 'begin': '2026-07-02T10:00:00.000+02:00'}",Salle des lumières - Bibliothèque universitaire,Évry-Courcouronnes,48.623601,2.42587,{'fr': ['Conférence']}
82411,Evry-Sénart Sciences et Innovation,46209840,Conférence internationale IEEE ARM 2026 à l’Université Évry Paris-Saclay,"L’Université Évry Paris-Saclay accueillera IEEE ARM 2026 du 21 au 23 juillet 2026, conférence internationale dédiée à la robotique, la mécatronique et aux systèmes intelligents.","{'end': '2026-07-21T17:00:00.000+02:00', 'begin': '2026-07-21T09:00:00.000+02:00'}",Université Évry Paris-Saclay,Évry-Courcouronnes,48.624139,2.427533,{'fr': ['Conférence']}
82411,Evry-Sénart Sciences et Innovation,75113569,Colloque ÉvryBio 2026,Un évènement conçu et porté par les talents des L3 Science de la Vie de l'Université Evry Paris-Saclay,"{'end': '2026-05-20T18:00:00.000+02:00', 'begin': '2026-05-20T08:30:00.000+02:00'}",IBGBI,Évry-Courcouronnes,48.625581,2.439815,{'fr': ['Colloque']}
